GA_ID,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
82,119.7636159,112.0381432,155.3120247,148.8893737,126.9373566,109.431738,154.7664817,127.6124066,136.2566847,127.0070302,119.8448743,148.6073543,176.8141215,149.7040144,147.1156856,156.3998852,145.4082993,135.5493983,156.2518404,127.178361,160.4280959,133.7830796,144.00423,133.4320702,135.1686268,140.8417624,146.9703545,157.562949,123.7542264,118.286883,160.1123321,125.5934293,127.594076,117.1777848,128.1491583,114.2485785,181.7721635,174.4852012
87,120.1717144,90.02657409,128.0832461,135.7082474,144.5949694,120.9634916,137.5349418,146.1135517,147.612858,138.3255327,106.5547865,143.0130458,164.4283562,157.9212636,157.7585852,157.7391809,151.0057717,139.8848552,146.5321377,120.4958145,153.0894675,142.0399483,138.5132824,133.4893494,140.2223043,122.9462295,148.717094,165.326017,127.2195428,149.7869283,160.1347405,132.7535501,128.5966747,127.9050641,132.1700665,122.4289808,180.4095663,202.5755309
89,187.8795073,178.8487313,256.0177539,255.1803299,205.225603,173.0222723,210.1998134,209.9698727,230.7991742,221.810056,197.9926715,234.5986189,270.1907551,266.590043,253.7328675,234.123361,257.3329457,240.0313601,237.0014632,238.8513506,305.4402216,283.3019219,284.6047831,240.5023122,248.675674,266.0581524,270.4865907,321.0974016,275.8086656,248.5136757,299.9879308,257.8343511,278.1789465,272.5900526,270.7828423,295.5717623,328.0201417,352.2409136
90,119.1776692,91.69723923,115.6862214,138.8347269,139.5712394,117.6207803,130.1814778,142.3973041,139.3694153,130.7262829,104.8967427,136.7987489,160.4707758,145.6039803,146.6837929,152.2662533,143.8899046,144.5950989,140.5468544,122.0631124,145.1157775,140.1559312,143.6490638,136.5572649,144.6363799,125.8855882,146.1711448,164.8467431,133.6542179,144.6790759,159.9610543,135.0240744,134.1223146,134.9442748,125.5634982,125.7677186,179.5117157,199.623734
84,122.6335101,118.9919128,166.315329,155.6420349,139.1834992,123.9085082,157.2806059,145.1588287,148.9161987,140.9375376,123.186498,163.6050151,188.1450711,168.3784266,170.5402912,179.7738446,170.8208875,154.8982963,166.4701167,139.24588,176.8309847,148.5621016,154.1949891,146.0278854,158.5443496,139.2826617,160.6643336,179.8219633,136.2215048,120.9465748,169.3432152,137.9956623,129.9634849,115.9523685,141.1643496,115.149705,205.9341334,202.3041265
93,583.0982521,628.443266,705.5485261,646.623926,667.4741014,722.7265273,605.0676603,684.5447882,845.1707276,790.7070814,549.7160213,850.155575,791.3839632,655.1385467,698.8719579,810.5132085,732.5453409,729.2353386,704.9447992,760.6248079,769.7612246,759.084179,780.7666626,719.0072004,803.4666363,796.0856112,878.6830154,846.3286646,682.9172705,735.9317509,840.9150871,737.7185286,746.1074913,869.4845309,770.6968151,791.0690475,780.5054683,934.5093255
83,190.1275497,210.0774801,294.1995843,273.6834128,232.1399143,211.712701,231.7558502,259.4891126,250.7475059,217.7837788,222.5686383,255.6760016,309.6200257,232.0528078,250.3575974,226.5199235,320.8306943,250.7453571,239.0586126,281.7748178,330.1366675,316.7317153,272.2514306,298.127084,325.9447214,282.7714783,337.1320371,374.7881676,294.8087237,285.1692985,361.7423122,383.264586,360.702457,325.1223806,353.7017235,361.366282,469.541733,522.5223796
97,164.6494161,176.0900969,232.0608898,234.1123201,177.8616664,157.9637841,205.7180072,184.3462026,214.8934244,183.665077,175.5883389,193.761124,240.6872804,225.736971,201.8267056,222.6330446,217.854887,201.5485333,228.7833975,167.2918162,243.7024321,219.5367994,212.3309576,165.6625917,181.0143857,183.0824092,236.2822481,218.3569514,168.2860572,207.5397475,232.9258872,164.771666,159.00373,145.9238053,199.1137511,182.195707,268.2247408,281.960176
95,508.6645445,537.7845758,813.6441794,640.1072944,547.9352181,548.3064288,461.5552942,798.9768012,829.9601065,800.8987209,611.7310395,724.6465178,1201.075059,554.4159641,612.7145008,794.2657773,797.7544227,618.7016981,574.9733791,779.6937273,943.4831089,851.9985185,876.6645115,826.1888665,861.5479042,888.101842,999.0837865,888.9165818,796.1594802,835.452342,1008.980449,942.7087376,876.9097222,1014.19466,820.5525023,881.5309735,1074.385057,1297.12234
94,582.8889769,615.3387046,878.9870791,697.9365104,669.5006795,604.6763258,536.8189129,826.5569751,813.4541811,753.9517019,594.7531904,740.1209101,1190.853958,605.6526067,574.8977268,704.2188954,787.7604368,640.5176628,572.4794382,660.2362807,836.9325305,832.2923662,769.5260399,727.9307834,852.5786629,799.2964759,866.1780867,864.2319205,786.3172876,749.1121075,925.9489775,908.6502177,907.8384853,892.4931173,780.0250656,796.0246445,1090.984669,1230.823158
