GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
39,0.001329266,9.75E-04,8.95E-04,0.001335688,7.56E-04,0.002138584,0.001824606,0.00302492,0.001835056,0.004217082,0.002681754,0.002749166,0.001933658,0.001638147,0.002108386,6.67E-04,0.00103345,0.00294523,0.002691137,0.002822458,0.001345994,0.004210129,0.004009721,0.003124986,0.001856643,6.29E-04,0.001267517,0.001140555,0.001569752,0.00170998,9.95E-04,0.002245472,0.001527044
40,0.004711462,0.005902194,0.005049672,0.00410537,0.00108661,1.84E-04,2.98E-04,8.05E-04,0.002482788,0.004614763,0.005165129,0.005723361,0.005670326,0.004765389,0.005881244,0.002567556,7.09E-04,2.33E-04,1.78E-04,9.45E-04,0.0019994,0.005317426,0.0056552,0.006279857,0.005746826,0.006071264,0.005700634,0.004924799,0.001856794,5.45E-04,2.88E-04,9.53E-04,0.002871823
41,0.00156805,0.004218077,0.002763038,1.99E-04,4.31E-06,1.11E-05,8.74E-06,8.09E-05,2.92E-04,1.99E-04,0.001101669,0.00211201,0.00364241,0.003399952,0.002696744,2.76E-04,1.63E-05,3.46E-05,4.44E-06,9.08E-05,1.07E-05,2.58E-04,0.001373687,0.00156905,0.002645882,0.003687752,0.002331611,0.00141887,5.84E-05,1.94E-05,6.98E-05,5.07E-06,8.71E-05
42,8.87E-04,0.001907643,0.001299298,2.89E-04,1.67E-04,2.34E-04,8.32E-05,6.09E-04,7.85E-04,2.16E-04,0.001984697,9.96E-04,0.002041546,0.001528882,0.001927735,4.11E-04,4.24E-04,3.13E-04,2.36E-04,0.001400719,2.45E-04,8.08E-04,0.00127928,0.001375749,7.37E-04,9.02E-04,0.001047595,0.002184,1.25E-04,3.85E-04,7.83E-04,1.04E-04,4.12E-04
43,0.001035452,0.001496856,0.001085753,0.001938391,0.003683328,0.002121196,0.001660185,0.001557038,0.001507275,0.001256029,0.001871399,0.001420907,0.001404509,6.78E-04,0.001160823,0.002032535,9.75E-04,0.002245343,0.004179165,0.002810424,0.002628459,0.001095829,0.001518165,9.88E-04,0.001301668,9.68E-04,0.001222184,0.00155605,0.002854621,0.003293941,0.002070243,0.002248902,8.39E-04
44,0.002398966,0.002654444,0.003069185,0.0036267,0.004068462,0.004028499,0.003275659,0.003646201,0.003272045,0.00238944,0.002220046,0.002849627,0.001944177,0.0026508,0.00243643,0.003620725,0.002977386,0.004245986,0.004188931,0.002346124,0.002956919,0.002607059,0.002242453,0.001801658,0.002690023,0.002637091,0.002657105,0.002097926,0.003512627,0.00367331,0.00385793,0.003282282,0.003084225
45,0.002135345,0.001856928,0.003321775,0.002347474,0.003341259,0.002749118,0.00322233,0.002792864,0.002229279,0.001890229,0.001536299,0.001566653,0.001024159,0.002740952,0.002392308,0.00251938,0.003318204,0.002546844,0.002876239,0.002842558,0.002660426,0.002217215,0.001420682,0.00187303,0.001504385,0.001962651,0.002686322,0.003255384,0.002604948,0.002554622,0.00191165,0.002275639,0.002407156
46,0.001767802,0.001606788,0.003371706,0.00187108,0.003021223,0.001982617,0.00221218,0.001952517,0.00121242,0.001867776,0.001069953,8.43E-04,7.92E-04,0.002305469,0.001785661,0.002133556,0.002890843,0.002016645,0.002920453,0.001818325,0.001661796,0.0013616,0.001341779,0.002063461,0.001299802,0.001589793,0.002408141,0.00306841,0.002986465,0.001982527,0.001411787,0.001773584,0.001707126
47,6.62E-05,9.16E-05,1.16E-04,7.84E-05,1.05E-04,5.11E-05,1.12E-04,1.43E-04,6.45E-05,3.90E-05,3.09E-05,5.94E-05,2.38E-04,1.27E-04,8.54E-05,2.19E-04,3.97E-05,6.68E-05,1.57E-04,4.47E-05,8.33E-05,7.35E-05,1.41E-04,9.84E-05,7.11E-05,5.36E-05,8.82E-05,7.10E-05,1.38E-04,1.40E-04,5.67E-05,1.15E-04,8.34E-05
48,0.003602451,0.003954702,0.005702106,0.006762843,0.007089497,0.003794759,0.00404321,0.004355804,0.006009352,0.006820223,0.008323598,0.004577685,0.003710087,0.003296496,0.00815181,0.006987548,0.006086188,0.003802333,0.004480541,0.005945086,0.006890296,0.0082724,0.00670858,0.005047726,0.0048013,0.003880202,0.005515439,0.007186748,0.007363871,0.00407885,0.003573421,0.004591549,0.00630603
