GA_ID,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
82,318.6504648,326.9995545,335.348657,343.6977214,352.0468085,360.3959041,368.745004,377.094092,385.4431978,393.7922851,394.0488912,396.7145915,399.3802784,402.0460346,413.5217043,424.997366,436.4729772,447.9486501,459.4242974,470.899952,482.3755897,493.8512573,505.3269114,516.8025797,528.2782239,539.7539286,551.2294668,562.7051567,574.1807577,585.65645,597.1321612,608.607797,620.0834609,631.5590772,643.0347299,654.5103588,665.9860424,677.4616818,688.9373115,700.4130088,711.8886006
87,557.0451809,571.1103338,585.1753486,599.2404721,613.3055777,627.3706633,641.435742,655.5008168,669.5659042,683.6310328,684.0568878,688.8180342,693.5792914,698.3404557,717.1923127,736.0442354,754.8960609,773.7479841,792.5998975,811.4518724,830.3036398,849.1555151,868.0074003,886.8592511,905.7112069,924.563103,943.4151303,962.266861,981.1187865,999.9706922,1018.822569,1037.674475,1056.526262,1075.378228,1094.230105,1113.082013,1131.933875,1150.785832,1169.637643,1188.489449,1207.341382
89,234.512875,240.246882,245.9809002,251.7149172,257.4489528,263.1829844,268.9170115,274.6510406,280.3850441,286.1190906,286.2988031,288.1901227,290.0813864,291.9727388,300.7326614,309.4925696,318.2525367,327.0124409,335.7724053,344.5323274,353.2922609,362.0522194,370.8121467,379.5720813,388.332015,397.0919355,405.8518649,414.6118324,423.3717406,432.1316849,440.8915682,449.6515694,458.4114945,467.1714581,475.9313757,484.6913326,493.4512595,502.211167,510.9710868,519.7310532,528.4910061
90,532.0313807,545.6592161,559.2870201,572.9148191,586.5426881,600.1704697,613.7982806,627.4261102,641.0539029,654.6817443,655.0917171,659.6424479,664.1931013,668.743864,686.9506328,705.1573461,723.3641555,741.5708377,759.7775564,777.9843835,796.1910231,814.3977975,832.6045623,850.8112468,869.0180194,887.2248165,905.4315477,923.6382131,941.8450331,960.0517538,978.2585609,996.4653177,1014.67196,1032.878736,1051.08549,1069.292206,1087.498998,1105.705764,1123.912438,1142.119146,1160.325865
84,414.6857588,425.4219704,436.1581616,446.8943569,457.6305385,468.3667507,479.1029028,489.8390884,500.5753272,511.3114999,511.6424565,515.158865,518.6751716,522.1915373,536.6660163,551.1403792,565.6148428,580.0892408,594.563673,609.0381053,623.5125085,637.9868858,652.461323,666.9356817,681.4102066,695.8845454,710.3589983,724.8333908,739.307812,753.7822311,768.2566322,782.7310596,797.2054629,811.6798853,826.1542882,840.6286916,855.1031691,869.5775181,884.0519409,898.5263498,913.000789
93,1290.148701,1326.098793,1362.049119,1397.999232,1433.949461,1469.899821,1505.850093,1541.800289,1577.750584,1613.70081,1614.500978,1625.884409,1637.267612,1648.650854,1685.951019,1723.251365,1760.551272,1797.851449,1835.151616,1872.452016,1909.751928,1947.052351,1984.352284,2021.65274,2058.952628,2096.253081,2133.553334,2170.853205,2208.15361,2245.453801,2282.754182,2320.054218,2357.354215,2394.654334,2431.954937,2469.255173,2506.554892,2543.855322,2581.155473,2618.455157,2655.755515
83,714.4969619,732.6569681,750.8170118,768.9769424,787.1369547,805.2969914,823.4569479,841.6169594,859.7769674,877.9369544,878.3886865,884.5359374,890.6830818,896.8303541,920.1402735,943.4501597,966.7599575,990.0698434,1013.379736,1036.689609,1059.999491,1083.309359,1106.619272,1129.929089,1153.239012,1176.549015,1199.858846,1223.168673,1246.478629,1269.78847,1293.098313,1316.408218,1339.718155,1363.028022,1386.337838,1409.647582,1432.957332,1456.267815,1479.577688,1502.887404,1526.197191
97,153.6362972,156.9965918,160.356866,163.7171299,167.077427,170.4377053,173.79798,177.158275,180.5185539,183.8788334,183.9984426,185.1599125,186.3213435,187.4827761,193.6174891,199.7521681,205.8868257,212.0215495,218.1562134,224.2909411,230.4256032,236.5602916,242.694993,248.8296715,254.9643593,261.0990161,267.2337261,273.3684069,279.5031055,285.6378031,291.7724824,297.9071716,304.0418696,310.1765551,316.3112437,322.4459022,328.5806053,334.7153005,340.8500198,346.9846697,353.1193836
95,1073.183987,1102.907989,1132.632034,1162.356122,1192.080187,1221.8043,1251.528389,1281.252398,1310.976685,1340.700412,1341.385544,1350.829677,1360.273828,1369.717891,1402.256164,1434.794246,1467.332136,1499.870663,1532.408859,1564.946717,1597.484946,1630.022976,1662.561322,1695.099307,1727.637693,1760.175709,1792.714111,1825.252509,1857.790017,1890.328634,1922.866316,1955.404793,1987.942746,2020.481128,2053.019547,2085.557529,2118.095644,2150.633648,2183.171783,2215.709753,2248.248353
94,872.4126436,894.6340762,916.8555234,939.0769391,961.2983835,983.5197654,1005.741248,1027.962682,1050.18404,1072.405524,1072.990604,1080.527141,1088.063824,1095.60037,1123.176139,1150.751778,1178.327495,1205.90316,1233.478923,1261.054682,1288.630346,1316.206075,1343.781581,1371.357413,1398.933326,1426.508765,1454.084705,1481.660587,1509.236013,1536.811577,1564.387426,1591.96284,1619.53873,1647.114235,1674.690108,1702.265936,1729.841413,1757.417301,1784.99316,1812.569051,1840.144432
